user,groupement,postal_code,street,Sous_groupement,m2_id,m1_id,dept
29379621,FRANCE BOISSONS,35530.0,ZA DE LA GIRAUDIERE,France BOISSONS,FR01_ON_1100,FR01_ON_1107,35.0
29379622,C10,35330.0,LA NOE,BARRE,FR01_ON_1100,FR01_ON_1106,35.0
29379623,INDEPENDANTS,39500.0,18 RUE DE STRASBOURG,STE D'EXP RAVONNEAUX,FR01_ON_3000,FR01_ON_3006,39.0
29379625,C10,41600.0,16 AVENUE DE L'EUROPE,EURL BREGENT,FR01_ON_9000,FR01_ON_9003,41.0
29379626,DISTRIBOISSONS,42150.0,ZAC DE MONTRAMBERT-PIGEOT,ROUCHON SOUCHON,FR01_ON_5000,FR01_ON_5007,42.0
29379627,DISTRIBOISSONS,42300.0,45 QUAI DU CANAL,PAPUT BOISSONS,FR01_ON_5000,FR01_ON_5007,42.0
29379628,DISTRIBOISSONS,43000.0,ZA LES SALLIENS RUE LEON MATHIEU,UDIVEL,FR01_ON_5000,FR01_ON_5007,43.0
29379632,INDEPENDANTS,59474.0,ZONE INDUSTRIELLE A,FICHEL DISTRIBUTION,FR01_ON_1000,FR01_ON_1006,59.0
29379633,C10,59155.0,22 CHEMIN DES MARGUERITOIS,LAMBELIN  ,FR01_ON_1000,FR01_ON_1006,59.0
29379635,C10,59270.0,VIEUX CHEMIN DES LOUPS,ENTREPOTS DES FLANDRES,FR01_ON_2000,FR01_ON_2006,59.0
29379639,INDEPENDANTS,59181.0,25 A RUE DU SAULE,ETS PLOUVIER,FR01_ON_2000,FR01_ON_2006,59.0
29379641,DISTRIBOISSONS,59199.0,PLACE DU 4 SEPTEMBRE,COUPEZ JEAN,FR01_ON_1000,FR01_ON_1002,59.0
29379642,INDEPENDANTS,59226.0,1333 RUE DU GRAND CHEMIN,LEFEBVRE ET FILS,FR01_ON_1000,FR01_ON_1002,59.0
29379646,C10,59193.0,ZAC DU MOULIN RUE DU MEUNIER,VANDENDRIESSCHE,FR01_ON_1000,FR01_ON_1003,59.0
29379650,C10,59570.0,26 RUE DE LA PLACE,EXPLOITATION ETS POIRETTE,FR01_ON_1000,FR01_ON_1001,59.0
29379651,C10,59132.0,18 RUE DU FOURNEAU,VIEVILLE SOGEDIB ETS VIEVILLE SARL,FR01_ON_1000,FR01_ON_1001,59.0
29379657,C10,16200.0,ALLEE DES GRANDS CHAMPS,LE BIHAN,FR01_ON_1200,FR01_ON_1206,16.0
29379658,DISTRIBOISSONS,16100.0,LES RENTES  ZI DE MERPINS,GIE SELECTOR,FR01_ON_1300,FR01_ON_1306,16.0
29379661,C10,18000.0,16 RUE LOUIS BECHEREAU,SCHOEN,FR01_ON_3000,FR01_ON_3002,18.0
29379663,C10,19400.0,AVENUE DE LA GARE,MESPOULET,FR01_ON_1200,FR01_ON_1205,19.0
29379664,C10,19100.0,PROLIDIS BRIVE,MESPOULET,FR01_ON_1200,FR01_ON_1205,19.0
29379666,C10,22100.0,BOULEVARD DE PREVAL,COZIGOU  ,FR01_ON_1100,FR01_ON_1107,22.0
29379667,C10,22203.0,PLOUISY,COZIGOU  ,FR01_ON_1100,FR01_ON_1102,22.0
29379668,C10,22610.0,8 RUE BOISGELIN,Les Fils de Louis MAHE,FR01_ON_1100,FR01_ON_1102,22.0
29379671,C10,8000.0,17B RUE DU MOULIN LEBLANC,SOREDIS,FR01_ON_3000,FR01_ON_3001,80.0
29379672,C10,9340.0,Zone Commerciale DELTA SUD - 265 Rue Clément Ader,ARIEGE BOISSONS DISTRIBUTION,FR01_ON_1300,FR01_ON_1302,9.0
29379673,C10,10000.0,5 Rue du Grand Menetrier,SA  JURA BOISSONS,FR01_ON_3000,FR01_ON_3003,10.0
29379676,FRANCE BOISSONS,13320.0,113 AVENUE DES FRERES LUMIERES,France BOISSONS,FR01_ON_6000,FR01_ON_6002,13.0
29379677,C10,13200.0,VILLEVIEILLE,BRASSERIE DU DELTA,FR01_ON_6000,FR01_ON_6006,13.0
29379678,DISTRIBOISSONS,13010.0,41 BOULEVARD DES ACIERIES,MONTANER,FR01_ON_6000,FR01_ON_6002,13.0
29379680,FRANCE BOISSONS,14123.0,140 RUE ANTOINE BECQUEREL,France BOISSONS,FR01_ON_9000,FR01_ON_9001,14.0
29379681,INDEPENDANTS,15300.0,RUE DE BONNEVIE,ETS COMBES PATRICK,FR01_ON_5000,FR01_ON_5006,15.0
29379682,DISTRIBOISSONS,16160.0,156 ROUTE DES FOURS A CHAUX,LA ROCHELLE BOISSONS,FR01_ON_1200,FR01_ON_1202,16.0
29379684,C10,31290.0,Z.I. DU SUD-BORDE BLANCHE,CROUZIL FRERES,FR01_ON_1300,FR01_ON_1302,31.0
29379686,C10,32140.0,ROUTE DE SIMORRE,ETS AUTEFAGE,FR01_ON_1300,FR01_ON_1303,32.0
29379687,FRANCE BOISSONS,33750.0,Route de Canteloup,France BOISSONS,FR01_ON_1300,FR01_ON_1305,33.0
29379690,FRANCE BOISSONS,34770.0,191 ZAE DE L'EMBOSQUE,France BOISSONS,FR01_ON_6000,FR01_ON_6005,34.0
29379692,DISTRIBOISSONS,37400.0,27 RUE DU COLOMBIER,FAYETTE,FR01_ON_9000,FR01_ON_9003,37.0
29379694,FRANCE BOISSONS,38120.0,10 AV DE L'ILE BRUNE / ZI,France BOISSONS,FR01_ON_4000,FR01_ON_4006,38.0
29379695,C10,39570.0,RUE DES GRANGETTES,SA  JURA BOISSONS,FR01_ON_3000,FR01_ON_3003,39.0
29379696,C10,24430.0,LE COLOMBIER,LE BIHAN,FR01_ON_1200,FR01_ON_1206,24.0
29379698,DISTRIBOISSONS,26000.0,Rue de Chantecouriol,MONTANER,FR01_ON_4000,FR01_ON_4004,26.0
29379701,C10,27350.0,4 BIS RUE BEAULIEU,SARL LA MAISON DU PERE TRANQUILLE,FR01_ON_9000,FR01_ON_9004,27.0
29379702,C10,28630.0,rue Joseph Cugnot,OBD   ,FR01_ON_9000,FR01_ON_9005,28.0
29379708,C10,29250.0,ZA DE KERRANNOU,COZIGOU  ,FR01_ON_1100,FR01_ON_1102,29.0
29379815,DISTRIBOISSONS,76350.0,2 CHEMIN DU PONT DE LA CHAPELLE,BONO,FR01_ON_9000,FR01_ON_9007,76.0
29379818,FRANCE BOISSONS,78710.0,ROUTE DE BUCHELAY,France BOISSONS,FR01_ON_8000,FR01_ON_8004,78.0
29379819,C10,95310.0,AVENUE DE L'EGUILLETTE,TRIBOUILLET,FR01_ON_7000,FR01_ON_7004,78.0
29379820,C10,79240.0,SAE DES ETS MICHENOT,SCOB,FR01_ON_1200,Vacant (TBD),79.0
29379824,INDEPENDANTS,80360.0,RUE DE PERONNE    ETRICOURT,LENGLET,FR01_ON_1000,FR01_ON_1002,80.0
29379826,DISTRIBOISSONS,94000.0,3 IMPASSE DES MARAIS ZI LES GRANDS MARAIS GAROSUD,J.MILLIET BERCY BISTROT CASH,FR01_ON_8000,FR01_ON_8006,75.0
29379827,DISTRIBOISSONS,81000.0,RUE DES MIMOSAS ,RAYMOND,FR01_ON_1300,FR01_ON_1302,81.0
29379828,C10,69800.0,15 RUE DE GENEVE,RAD,FR01_ON_5000,FR01_ON_5001,69.0
29379829,C10,70300.0,"ZAC du Bouquet, Rue du Bouquet",BURGEY ROBERT ET FILS,FR01_ON_3000,FR01_ON_3006,70.0
29379830,C10,71100.0,11 RUE LOUIS JACQUES THENARD,SOREDIS,FR01_ON_3000,FR01_ON_3003,71.0
29379831,DISTRIBOISSONS,72200.0,BOULEVARD PETITE VITESSE,Sarthe Anjou Boissons,FR01_ON_9000,FR01_ON_9002,72.0
29379833,DISTRIBOISSONS,73210.0,241 RUE DE PLAN CRUET,MURGIER,FR01_ON_4000,FR01_ON_4003,73.0
29379834,DISTRIBOISSONS,73700.0,412 RUE DU GRAND CLOS,MONTANER,FR01_ON_4000,FR01_ON_4003,73.0
29379835,C10,73730.0,220 RUE DE RUBELLIN,ETS HYBORD ESCANDE DISTRIBUTION,FR01_ON_4000,FR01_ON_4001,73.0
29379836,INDEPENDANTS,73460.0,LE TRABLEY,LE GRAND ARC,FR01_ON_4000,FR01_ON_4006,73.0
29379838,FRANCE BOISSONS,74112.0,ROUTE DE THONON ,France BOISSONS,FR01_ON_5000,FR01_ON_5005,74.0
29379840,FRANCE BOISSONS,76530.0,1 RUE DE LA SCIERIE,France BOISSONS,FR01_ON_9000,FR01_ON_9004,76.0
29379841,C10,92396.0,AVENUE NOBEL ZI VAL DE SEINE,OBD   ,FR01_ON_7000,FR01_ON_7001,92.0
29379842,DISTRIBOISSONS,77500.0,CHEMIN LE BOULEUR,GROUPE ROUQUETTE,FR01_ON_8000,FR01_ON_8001,77.0
29379843,INDEPENDANTS,95500.0,14/16 RUE MAURICE PAILLARD,BRIE LA FRANCILIENNE,FR01_ON_8000,FR01_ON_8003,93.0
29379844,INDEPENDANTS,93800.0,AV.DE LA REPUBLIQUE,NAIT TAHAR MENAD,FR01_ON_8000,FR01_ON_8003,93.0
29379845,INDEPENDANTS,95500.0,RUE JEAN MERMOZ - BAT C2,SARLCAFES MOULUS POUR LIMONADIER,FR01_ON_8000,FR01_ON_8005,93.0
29379846,C10,93000.0,HENRI GAUTIER,LES FRERES GOURMANDS,FR01_ON_8000,FR01_ON_8005,93.0
29379849,C10,91420.0,20 RUE GUSTAVE EIFFEL ,OBD   ,FR01_ON_7000,FR01_ON_7005,94.0
29379850,FRANCE BOISSONS,94380.0,RUE DU MOULIN BATEAU,France BOISSONS,FR01_ON_8000,FR01_ON_8004,94.0
29379853,C10,70110.0,ROUTE D'HERICOURT,DAMIDEAUX MICHEL BOISSONS,FR01_ON_3000,FR01_ON_3006,70.0
29379855,C10,83630.0,ZA LES UCHANES,OLIVIER FRERES,FR01_ON_6000,FR01_ON_6007,83.0
29379857,FRANCE BOISSONS,92230.0,1 ROUTE DU BASSIN NUMERO 6,France BOISSONS,FR01_ON_8000,FR01_ON_8002,92.0
29379858,DISTRIBOISSONS,83480.0,254 IMPASSE DES MARSOUINS ZAC CAMP DESSERT NORD,MONTANER,FR01_ON_6000,FR01_ON_6001,83.0
29379859,DISTRIBOISSONS,83480.0,254 IMP DES MARSOUINS,MONTANER,FR01_ON_6000,FR01_ON_6001,83.0
29379860,DISTRIBOISSONS,84700.0,IMPASSE DENIS PAPIN,MONTANER,FR01_ON_6000,FR01_ON_4002,84.0
29379861,C10,85700.0,AVENUE DE LA SEVRE,VINS REMY LIBOUREAU,FR01_ON_1200,FR01_ON_1201,85.0
29379862,C10,86370.0,RUE DES HALLES,SA VINS FROMAGET,FR01_ON_1200,FR01_ON_1201,86.0
29379863,C10,87000.0,RUE MAUTRICE UTRILLO,MESPOULET,FR01_ON_1200,FR01_ON_1205,87.0
29379865,C10,89270.0,Z.I DES BOURRES,COURTOIS BOURGOGNE BOISSONS,FR01_ON_3000,FR01_ON_3002,89.0
29379866,DISTRIBOISSONS,91170.0,3 BIS RUE  COLBERT,SARL DRINK MARKET CASH,FR01_ON_7000,FR01_ON_7002,91.0
29379894,C10,62870.0,ROUTE DEPARTEMENTALE 129,LAMBELIN  ,FR01_ON_2000,FR01_ON_2004,62.0
29379896,C10,63670.0,RUE LE CORBUSIER,AUDEBERT BOISSONS,FR01_ON_5000,FR01_ON_5006,63.0
29379901,DISTRIBOISSONS,66000.0,RUE EUGENE FLACHAT,CASAS DISTRIBUTION,FR01_ON_6000,FR01_ON_6003,66.0
29379905,C10,69360.0,11 RUE JULES GUESDE,CAVES DU CENTRE,FR01_ON_4000,FR01_ON_4008,69.0
29379915,C10,62490.0,3 GRANDE RUE,LAMPIN,FR01_ON_2000,FR01_ON_2001,62.0
29379916,FRANCE BOISSONS,62100.0,"9001 RUE DES GARENNES,ZI DES DUNES",France BOISSONS,FR01_ON_2000,FR01_ON_2005,62.0
29425623,C10,45300.0,RD - ROUTE DE JARGEAU ,OBD   ,FR01_ON_9000,FR01_ON_9005,45.0
29430384,INDEPENDANTS,95190.0,RUE JEAN PIERRE TIMBAUD,LBA LES BRASSERIES D'ALEXANDRE,FR01_ON_8000,FR01_ON_8002,95.0
29431121,INDEPENDANTS,94500.0,RUE BENOIT FRANCHON,UNIVERS DES BOISSONS ARTISANALES,FR01_ON_8000,FR01_ON_8004,94.0
29446255,NATIONAL CUSTOMER,53200.0,RUE DE LA ROBERDERIE,VINOBEER,3M,3M,53.0
29537235,C10,13014.0,BOULEVARD LAVOISIER,ROSSI,FR01_ON_6000,FR01_ON_4002,13.0
29563495,C10,73100.0,380 BD JEAN JULES HERBERT,RAD,FR01_ON_5000,FR01_ON_5004,73.0
29563563,NATIONAL CUSTOMER,92230.0,RUE DU FOSSE BLANC,INTER CAVES,3M,3M,92.0
29563809,C10,28100.0,6 RUE HENRY POTEZ ,OBD   ,FR01_ON_9000,FR01_ON_9005,28.0
29563814,C10,44471.0,11 RUE DE LA METALLURGIE,CHIFFOLEAU,FR01_ON_1100,FR01_ON_1101,44.0
29563817,C10,33140.0,AVENUE FERNAND COIN,LE BIHAN,FR01_ON_1200,FR01_ON_1203,33.0
29563820,C10,64200.0,ALLEE DU MOURA,DUPRAT,FR01_ON_1300,FR01_ON_1305,64.0
29563827,C10,64160.0,RUE DES BRUYERES,PYRENEES BOISSONS,FR01_ON_1300,FR01_ON_1303,64.0
29563830,C10,12000.0,RUE DES CHARPENTIERS,MESPOULET,FR01_ON_1300,FR01_ON_1304,12.0
29563832,C10,31400.0,JULES VEDRINE,SOBCAL,FR01_ON_1300,FR01_ON_1301,31.0
29563833,C10,29700.0,RUE AN DOUR RU,COZIGOU  ,FR01_ON_1100,FR01_ON_1108,29.0
29563834,C10,56500.0,ZA DE KERANA,COZIGOU  ,FR01_ON_1100,FR01_ON_1103,56.0
29563836,C10,35600.0,LA LANDE DE SAINT JEAN,BARRE,FR01_ON_1100,FR01_ON_1106,35.0
29563837,C10,62301.0,RUE DE GROSSOUVRE ZI du Gard,SODIBOISSONS,FR01_ON_2000,FR01_ON_2002,62.0
29564005,C10,82160.0,CLAOUSE DAILHATS BP,MESPOULET,FR01_ON_1300,FR01_ON_1304,82.0
29595514,C10,62500.0,RUE EDOUARD POTTIER,SODIBOISSONS,FR01_ON_2000,FR01_ON_2003,62.0
29596966,DISTRIBOISSONS,5000.0,ROUTE DE BARCELONNETTE,MONTANER,FR01_ON_4000,FR01_ON_4007,50.0
29606863,FRANCE BOISSONS,59160.0,RUE DU CHEMIN SAINT MARTIN,France BOISSONS,FR01_ON_1000,FR01_ON_1004,59.0
29607967,FRANCE BOISSONS,69960.0,73 RUE MARCEL MERIEUX,France BOISSONS,FR01_ON_4000,FR01_ON_4008,69.0
29610633,FRANCE BOISSONS,31128.0,AVENUE DE LA SAUDRUNE,France BOISSONS,FR01_ON_1300,FR01_ON_1301,31.0
29630747,FRANCE BOISSONS,49124.0,BOULEVARD DE LA CHANTERIE,France BOISSONS,FR01_ON_1100,FR01_ON_1105,49.0
29635311,DISTRIBOISSONS,2500.0,61 RUE EMILE ZOLA,B.B.C.D. (Hirson),FR01_ON_1000,FR01_ON_1004,2.0
29643421,NATIONAL CUSTOMER,77140.0,4 RUE DES PALIS,STEF Logistique Nemours,3M,3M,77.0
29683450,DISTRIBOISSONS,74550.0,206 RUE DU BRAFYEU - ZI LES GRANDES TEPPES,MURGIER,FR01_ON_4000,FR01_ON_4001,74.0
29722953,INDEPENDANTS,78990.0,11 Rue François Arago,GDB,FR01_ON_8000,FR01_ON_8006,78.0
29727962,INDEPENDANTS,59380.0,20 RUE ABEL VERMERSCH,BVB,FR01_ON_2000,FR01_ON_2006,59.0
29750335,NATIONAL CUSTOMER,17230.0,RUE MADAME CHARLES CHARRIAU,POLE CERVOISERIE,3M,3M,17.0
29756769,C10,58300.0,31 BIS RUE DU CAQUERET,CHR BOISSONS,FR01_ON_3000,FR01_ON_3002,58.0
29780131,FRANCE BOISSONS,77130.0,RUE DES TAUPES,France BOISSONS,FR01_ON_8000,FR01_ON_8004,77.0
29793472,DISTRIBOISSONS,91170.0,40 RUE DE RIS,ENTREPOT DARBONNE,FR01_ON_7000,FR01_ON_7002,91.0
29799562,DISTRIBOISSONS,60480.0,ZAC BELLE ASSISE,GROUPE ROUQUETTE,FR01_ON_2000,FR01_ON_2004,60.0
29801344,NATIONAL CUSTOMER,91919.0,RUE DU DESIR PREVOST,STEF Logistiques Restauration,3M,3M,91.0
29804035,NATIONAL CUSTOMER,53200.0,RUE DE ROMAINVILLE,NEODIF,3M,3M,53.0
29832988,INDEPENDANTS,33320.0,RUE DU 19 MARS 1962,CAVE A TITOUNE,FR01_ON_1300,FR01_ON_1306,33.0
29833190,DISTRIBOISSONS,20290.0,RUE DES PLATANES VALROSE,SAS GROUPEMENT BOISSONS DE CORSE,FR01_ON_6000,FR01_ON_6007,20.0
29839429,C10,84000.0,5 RUE DE LA GLORIETTE,ROSSI,FR01_ON_6000,FR01_ON_4002,84.0
29840997,DISTRIBOISSONS,71570.0,ZI LES TUPINNIERES ,MURGIER,FR01_ON_4000,FR01_ON_4008,71.0
29974413,NATIONAL CUSTOMER,51430.0,12 RUE NICOLAS APPERT,GEDIS NORD EST,FR01_ON_3000,FR01_ON_3001,51.0
29983887,NATIONAL CUSTOMER,26300.0,10 RUE DE L'ABBAYE DE LEONCEL,MY BEERS,3M,3M,26.0
29986364,NATIONAL CUSTOMER,78120.0,3 RUE JOSEPH JACQUARD ZA BU BEL AIR,SAS FILL,3M,3M,78.0
29988565,C10,59494.0,RUE LAPLACE 65,SOREDIS,FR01_ON_1000,FR01_ON_1002,59.0
29996995,C10,65400.0,29 AVENUE ROBERT COLL,ETS VIGNAU ET FILS,FR01_ON_1300,FR01_ON_1306,65.0
29996996,DISTRIBOISSONS,85150.0,Zone Artisanale,LA ROCHELLE BOISSONS,FR01_ON_1200,FR01_ON_1204,85.0
40007881,C10,54700.0,479 Rue des Hauts de Feye,REGA,FR01_ON_3000,FR01_ON_3004,54.0
